recording,channel,type,original_unit,mne_data_unit,samples,nonfinite,min_value,max_value,eligible,reasons,scan
sub-SD010_ses-01_task-PassiveListen,LA1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0024902813000686657,0.0007577845578698406,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0009736488136110475,0.0009303164568551155,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006511816433966582,0.0009547739833676661,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006232681620508125,0.0009678002746623941,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006634104066529336,0.001187918013275349,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0008231818570229648,0.001656332814526589,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.001190044754711223,0.002140964019226368,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LA8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0023289147936217287,0.0021181015487907223,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0010100692607003892,0.0007737351186388952,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005437812008850233,0.000935101625085832,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00047147199206530865,0.0007027551232166017,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005060315403982605,0.0008702360112916761,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006211414206149386,0.0009478620737010757,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000810421408407721,0.0015045366445410847,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0009207461203936827,0.0018740579690241855,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0009957137560082398,0.0022887725490196077,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006580935530632486,0.0004111257038223849,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHH10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002832553749904631,0.0007556578164339665,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.001714286518654154,0.0009997013962005034,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0007306686045624476,0.0008675775844968338,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0009281897154192416,0.0010728081330586708,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003377531242847333,0.0005299573815518424,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00042149356832227054,0.0006604861371786067,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00047439626153963536,0.0007670890516517891,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0007405047837033646,0.0007737351186388952,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00045631895933470666,0.0008481710688944838,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000463230869001297,0.0008021802853437094,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LHT10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003491843595025559,0.00023620122072175168,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002577344777599756,0.00041537918669413287,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002146679636835279,0.0004321272755016403,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00020110998702983142,0.00047891558709086746,True,,ALL_SAMPLES
